symbol,side,strategy_id,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,reason,bars_held,breakeven_activated,confidence,flip_level,flip_breached_bar,flip_breached_before_exit,flip_timing,would_pass_production,production_min_confidence,run,closed,won,meta_ema_50,meta_ema_200,meta_macd,meta_macd_signal,meta_macd_hist,meta_macd_hist_prev,meta_rsi,meta_atr,meta_trend_strength,meta_cross_strength,meta_rsi_room,meta_flip_level,meta_bb_width,meta_bb_width_percentile,meta_resistance_level,meta_support_level,meta_breakout_level,meta_volume,meta_volume_ma_20,meta_volume_ratio,meta_squeeze_intensity,meta_volume_strength,meta_macd_strength,meta_suggested_take_profit,meta_suggested_stop_loss
BTC/USDT,long,trend_momentum,2025-07-21 08:00:00,2025-07-21 16:00:00,119364.18,116959.860528,-0.1007,-2.0143,stop_loss,2,False,0.836574,117587.555628,2.0,True,before_exit,True,0.45,A2,True,False,117587.5556280345,112224.15618181348,54.617820950224996,6.708122562872405,47.90969838735259,-44.149227125525556,58.091689460093704,1184.6458695232004,0.9558368944261559,0.9713760023272849,0.03180517566510493,117587.5556280345,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-07-22 12:00:00,2025-07-25 00:00:00,119154.99,116341.303865,-0.1181,-2.3614,stop_loss,15,False,0.831366,117653.860581,15.0,True,before_exit,True,0.45,A2,True,False,117653.86058083316,112604.12574284693,-40.78498841566034,-72.23049013303905,31.44550171737872,-76.36170551397562,56.27452395318709,1359.4056111006091,0.8969005007007067,0.9913083184207885,0.062091267446881794,117653.86058083316,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-07-26 12:00:00,2025-07-29 12:00:00,117776.1,117400.01,-0.016,-0.3193,flip_level,18,False,0.706415,117714.3043,18.0,True,before_exit,True,0.45,A2,True,False,117714.3043003085,113736.06263240699,-311.7944064154144,-330.507575288485,18.713168873070572,-44.705992092694714,50.62106136214725,1253.7134994165629,0.6995567765976081,0.6323131340940183,0.15631564396421246,117714.3043003085,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-07-31 08:00:00,2025-07-31 16:00:00,118665.98,116785.79,-0.0792,-1.5844,flip_level,2,False,0.669179,118053.126845,2.0,True,before_exit,True,0.45,A2,True,False,118053.12684484154,114873.37516959538,-23.092464922141517,-44.38577165388922,21.293306731747705,-35.02128870146319,54.73120582397844,1049.9886818563957,0.5536098631300193,0.6704190769662136,0.08781323626702596,118053.12684484154,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-08-03 12:00:00,2025-08-03 16:00:00,113862.19,114313.19,0.0198,0.3961,flip_level,1,False,0.688971,116063.476022,1.0,True,before_exit,True,0.45,A2,True,True,116063.47602191089,114815.24847791268,-1130.29798608493,-1143.2253727008062,12.92738661587623,-72.26831491841972,40.45721295397014,1129.290031945152,0.21743236382723657,0.9430228188097761,0.32571311743383097,116063.47602191089,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-08-17 12:00:00,2025-08-17 16:00:00,118308.0,117570.07,-0.0312,-0.6237,flip_level,1,False,0.677532,118340.64782,1.0,True,before_exit,True,0.45,A2,True,False,118340.6478195382,116514.1640684656,-421.28592166329327,-427.44001178771265,6.154090124419383,-59.968561938944106,49.161225103505274,930.5516914188033,0.3135213243257396,0.8882184175409282,0.1806462482749121,118340.6478195382,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-08-21 00:00:00,2025-08-21 04:00:00,114271.23,113896.03,-0.0164,-0.3283,flip_level,1,False,0.598826,116281.227638,1.0,True,before_exit,True,0.45,A2,True,False,116281.2276379176,116213.7633895741,-1029.8087589294591,-1093.3537813229668,63.54502239350768,-6.5539698120546745,41.939767898567496,1091.0786419222109,0.01161037150433668,0.8030928009238781,0.3010038683572084,116281.2276379176,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-09-04 16:00:00,2025-09-04 20:00:00,109510.32,111735.912476,-0.1016,-2.0323,stop_loss,1,False,0.719106,110678.918257,1.0,True,before_exit,True,0.45,A2,True,False,110678.918257236,113223.73732722661,258.0475689034065,354.258079041873,-96.21051013846647,26.137899830736615,42.6904032923661,1132.6167178458763,0.4495204150761884,1.0,0.04484005487276832,110678.918257236,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-09-06 00:00:00,2025-09-07 08:00:00,110660.0,111292.13,-0.0286,-0.5712,flip_level,8,False,0.62776,110844.968853,8.0,True,before_exit,True,0.45,A2,True,False,110844.96885282385,113073.72950861526,298.8605640763999,330.0668348359986,-31.20627075959868,35.627816377353895,49.00770633077185,1332.9499908734913,0.3942136985269596,0.6267497617554629,0.15012843884619756,110844.96885282385,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-09-09 20:00:00,2025-09-10 00:00:00,111301.53,111545.88,-0.011,-0.2195,flip_level,1,False,0.604122,111205.571127,1.0,True,before_exit,True,0.45,A2,True,False,111205.57112658376,112718.89941045568,258.1937075430469,299.6131367910052,-41.419429247958305,8.416694391222904,49.195273440736415,949.5887815200545,0.26851367282451344,0.6560224358301445,0.15325455734560692,111205.57112658376,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-09-24 12:00:00,2025-09-24 16:00:00,113029.45,113420.01,0.0173,0.3455,flip_level,1,False,0.648933,114265.126724,1.0,True,before_exit,True,0.45,A2,True,True,114265.12672376838,114014.02621480513,-844.1118571114785,-875.9364571966662,31.82460008518774,-54.712291790460654,44.83163518527131,936.2402357993457,0.044047301424155194,1.0,0.2528060802454782,114265.12672376838,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-10-12 20:00:00,2025-10-13 00:00:00,114342.28,114821.12,0.0209,0.4188,flip_level,1,False,0.687659,117462.267043,1.0,True,before_exit,True,0.45,A2,True,True,117462.26704296628,116357.53332330231,-2398.615016137861,-2528.7502693419556,130.13525320409462,-130.65013036147457,43.924904090668804,2149.5835534242137,0.18988606721224327,1.0,0.2679182651555199,117462.26704296628,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-10-22 04:00:00,2025-10-24 00:00:00,108216.03,110441.46,-0.1028,-2.0565,flip_level,11,False,0.757138,110344.493625,11.0,True,before_exit,True,0.45,A2,True,False,110344.49362456212,113603.70296202274,144.0233095301228,154.13780233397458,-10.114492803851789,144.1584090808259,45.4766590588738,1840.006032328435,0.5737857574149955,1.0,0.09127765098123,110344.49362456212,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-10-28 08:00:00,2025-10-28 12:00:00,114188.38,114641.38,-0.0198,-0.3967,flip_level,1,False,0.615263,111955.273457,1.0,True,before_exit,True,0.45,A2,True,False,111955.27345743182,113030.08530543536,1105.1988546816283,1161.2657971433605,-56.0669424617322,0.9121277089716386,61.20153057616617,1081.0251168955701,0.19018155123905986,0.6588546056905373,0.35335884293610287,111955.27345743182,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-11-11 20:00:00,2025-11-12 08:00:00,103126.39,105020.83,-0.0919,-1.837,flip_level,3,False,0.79851,104704.843046,3.0,True,before_exit,True,0.45,A2,True,False,104704.843046473,108804.10390378897,304.5449848091521,438.35825242037765,-133.81326761122557,4.552701861158255,44.05290854752373,1387.0661280270326,0.753512176515102,1.0,0.06754847579206213,104704.843046473,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-11-29 04:00:00,2025-11-29 08:00:00,90680.26,90673.19,0.0004,0.0078,flip_level,1,False,0.833903,89744.166454,1.0,True,before_exit,True,0.45,A2,True,True,89744.1664540524,97143.47399852247,920.6017932735122,973.0158201219494,-52.41402684843729,24.938169351501188,55.549016177144885,1239.4264713311777,1.0,0.7801208662751502,0.25915026961908144,89744.1664540524,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-12-05 04:00:00,2025-12-05 08:00:00,92142.75,91351.43,0.0429,0.8588,flip_level,1,False,0.771936,90686.884455,1.0,True,before_exit,True,0.45,A2,True,True,90686.88445540794,95160.60510438975,847.5521627054404,887.5542178753586,-40.00205516991821,25.875870587410077,55.74051952702747,1395.5047734758464,0.9402463643593274,0.5900904730806041,0.26234199211712456,90686.88445540794,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-12-11 04:00:00,2025-12-11 20:00:00,89880.0,92725.785966,-0.1583,-3.1662,stop_loss,4,False,0.757013,91040.38496,4.0,True,before_exit,True,0.45,A2,True,False,91040.38495979116,93876.05696671123,311.87666343626915,415.0090175784364,-103.13235414216723,83.03259635326737,42.39222549303435,1471.9362892517433,0.6041310422583271,1.0,0.03987042488390588,91040.38495979116,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-12-12 16:00:00,2025-12-16 16:00:00,89935.13,87585.77,0.1306,2.6123,time_stop,24,True,0.743072,91103.570257,,False,never,True,0.45,A2,True,True,91103.57025733872,93646.8631731364,89.46893298762734,156.4186943664759,-66.94976137884856,76.30014034354579,42.91220346281755,1488.161356140281,0.543166707270393,1.0,0.04853672438029252,91103.57025733872,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-12-19 00:00:00,2025-12-19 12:00:00,85516.41,88670.266189,-0.1844,-3.688,stop_loss,3,False,0.646954,88321.05195,11.0,False,after_exit,True,0.45,A2,True,False,88321.05194988515,91851.12771532017,-740.4683593395603,-725.4854620521023,-14.982897287457945,34.38688457233093,41.0228198404279,1509.0956403895718,0.7686515894232668,0.408935164035098,0.017046997340464998,88321.05194988515,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-12-23 04:00:00,2025-12-26 00:00:00,88170.0,88844.87,-0.0383,-0.7654,flip_level,17,False,0.683765,88411.309831,17.0,True,before_exit,True,0.45,A2,True,False,88411.30983062132,91085.12636916287,250.62110051544732,281.66498698554994,-31.04388647010262,27.13344764394344,48.54179195696083,1097.6218362203795,0.5871027784942014,0.6625384558034302,0.14236319928268049,88411.30983062132,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-12-26 20:00:00,2025-12-29 00:00:00,87501.83,89547.675382,-0.1169,-2.3381,stop_loss,13,False,0.600401,88020.088341,13.0,True,before_exit,True,0.45,A2,True,False,88020.0883414217,90417.9842950162,-28.980491583730327,-28.119141032399263,-0.8613505513310642,33.27543466139221,47.06674543901868,1065.3552056591736,0.5304024353762715,0.4005329047930265,0.11777909065031136,88020.0883414217,,,,,,,,,,,,,
